Shahnameh,Ferdowsi,9645560403
The Conference of the Birds,Attar,0140444343
Divan-e Hafez,Hafez,9647603599
Masnavi,Rumi,9643060500
The Blind Owl,Sadegh Hedayat,9643513264
My Uncle Napoleon,Iraj Pezeshkzad,1566565533
Savushun,Simin Daneshvar,0815603794
The Colonel,Mahmoud Dowlatabadi,1844674734
Missing Soluch,Mahmoud Dowlatabadi,1933823431
Censoring an Iranian Love Story,Shahriar Mandanipour,0307272761
The Enlightenment of the Greengage Tree,Shokoofeh Azar,1947534715
Disoriental,Négar Djavadi,1609454517
Prisoner of Tehran,Marina Nemat,1594482863
Reading Lolita in Tehran,Azar Nafisi,081297106X
Things We Left Unsaid,Zoya Pirzad,0957299855
The Book of Fate,Parinoush Saniee,1846881921
I'll Be Strong for You,Nazanin Mirshahi,6222435018
The Bathhouse,Fattaneh Hajj Seyyed Javadi,0934211353
A Man Without a Name,Fereydoun Hoveyda,156656569X
The Persian Seven Beauties,Nizami,9643620035
Tuba and the Meaning of Night,Shahrnush Parsipur,1566565983
Women Without Men,Shahrnush Parsipur,0811216020
The Secret Letters of Sharazad,Shahrnush Parsipur,1566566254
The Book of Absent People,Shahriar Mandanipour,1940953459
The Pomegranate Alone,Shervin Farridnejad,622243500X
The Saffron Sky,Fatemeh Keshavarz,1566563409
The Mirror of My Heart,Mahnaz Badihian,1566563972
The White Road,Nahid Tabatabai,6222435026
The Jasmine Girl,Mahsa Mohebali,6222435034
The City of Brass,S.A. Chakraborty,0319572109
Talisman,Nasser Taghvai,6222435042
The Philosophy of the Garden,Sadegh Choubak,6222435050
The Legend of Siavash,Ferdowsi,9645560411
The Divan of Rudaki,Rudaki,9643620027
The Neighbor,Abbas Maroufi,1566565673
The Garden of the Departed Cats,Bijan Najdi,1566565681
The Prince,Abolqasem Ferdowsi,964556042X
The Story of Rostam and Sohrab,Ferdowsi,9645560438
The Story of Zal and Rudabeh,Ferdowsi,9645560446
The Story of Siavash,Ferdowsi,9645560454
The Story of Bahram Gur,Ferdowsi,9645560462
The Story of Esfandiyar,Ferdowsi,9645560470
The Story of Alexander,Ferdowsi,9645560489
The Story of Jamshid,Ferdowsi,9645560497
The Story of Zahhak,Ferdowsi,9645560500
The Story of Faramarz,Ferdowsi,9645560519
The Story of Bizhan and Manizheh,Ferdowsi,9645560527
The Story of Gordafarid,Ferdowsi,9645560535
The Story of Kay Kavus,Ferdowsi,9645560543
The Story of Kay Khosrow,Ferdowsi,9645560551
